Id,SalePrice
1461,92105.52139775376
1462,147880.8934111438
1463,143678.6570935512
1464,167785.91130762408
1465,243538.0726281879
1466,155032.74118960847
1467,178758.75598975417
1468,151606.095957036
1469,235957.5455100079
1470,83533.63952426662
1471,164385.660933709
1472,101177.03027256859
1473,57005.95874882658
1474,140033.74218879762
1475,167323.29294988193
1476,364997.33394371776
1477,305670.85698961385
1478,309520.1851879624
1479,289642.1803878045
1480,451159.6605031361
1481,313293.63813690864
1482,248393.21303876612
1483,181359.0998848285
1484,173919.4059286113
1485,225615.8079662427
1486,222775.8508619849
1487,300619.3750749646
1488,248520.26861618995
1489,218543.852673035
1490,206427.21332025412
1491,219116.79955151648
1492,86605.98634218135
1493,227721.08818379923
1494,330588.42104742525
1495,303848.01825512445
1496,213649.55988588821
1497,166812.68203346676
1498,172569.6253286268
1499,186537.67902084897
1500,129887.88036924093
1501,180887.2630186384
1502,147282.63216593594
1503,320622.95177014754
1504,270422.501544024
1505,231579.85648326934
1506,157711.27565157134
1507,211145.6620857253
1508,183169.95707338364
1509,172544.6103585786
1510,116530.80910562625
1511,124552.13577622641
1512,146808.28600309376
1513,118878.1462184919
1514,203476.6461735382
1515,159566.7033163028
1516,170598.25023538055
1517,188494.96065508487
1518,101158.47263436022
1519,257063.42622019642
1520,136281.22370735666
1521,122682.88500138017
1522,186546.98515073693
1523,67086.59928413553
1524,105545.86998435119
1525,120011.45848212758
1526,103442.29121013284
1527,45744.02708485277
1528,153387.20889674238
1529,134707.45951754536
1530,231344.4209120128
1531,95000.05728958666
1532,118904.64737235129
1533,164979.22453333336
1534,160224.68992567103
1535,147708.76287428726
1536,104394.76687210104
1537,-12982.639676366089
1538,244551.34918791623
1539,240526.1143018339
1540,145263.27699775272
1541,152844.3174897054
1542,99340.35909178015
1543,234267.55624544108
1544,78330.56956962674
1545,175043.95460105332
1546,173314.2947286509
1547,157699.48266327722
1548,176439.85757474054
1549,128214.69244454132
1550,125416.41197719317
1551,161937.84860452736
